,1.A.17.1.1,1.A.17.1.10,1.A.17.1.11,1.A.17.1.12,1.A.17.1.13,1.A.17.1.14,1.A.17.1.15,1.A.17.1.16,1.A.17.1.17,1.A.17.1.18,1.A.17.1.2,1.A.17.1.3,1.A.17.1.4,1.A.17.1.5,1.A.17.1.6,1.A.17.1.7,1.A.17.1.8,1.A.17.1.9,1.A.17.2.1,1.A.17.2.2,1.A.17.2.3,1.A.17.2.4,1.A.17.2.5,1.A.17.3.1,1.A.17.3.10,1.A.17.3.11,1.A.17.3.2,1.A.17.3.3,1.A.17.3.4,1.A.17.3.5,1.A.17.3.6,1.A.17.3.7,1.A.17.3.8,1.A.17.3.9,1.A.17.4.1,1.A.17.4.10,1.A.17.4.11,1.A.17.4.2,1.A.17.4.3,1.A.17.4.4,1.A.17.4.5,1.A.17.4.6,1.A.17.4.7,1.A.17.4.8,1.A.17.4.9,1.A.17.5.1,1.A.17.5.10,1.A.17.5.11,1.A.17.5.12,1.A.17.5.2,1.A.17.5.3,1.A.17.5.4,1.A.17.5.5,1.A.17.5.6,1.A.17.5.7,1.A.17.5.8,1.A.17.5.9,1.A.17.6.1,1.A.17.6.2,1.A.17.6.3,1.A.17.6.4,1.A.17.6.5,1.A.17.6.6,1.A.17.6.7,1.A.17.7.1,1.A.17.7.2,1.A.17.7.3,1.A.17.7.4,1.A.17.7.5
1.A.17.1.2,514.1,29.0,28.2,71.0,101.9,161.3,84.2,29.2,72.8,91.2,1344.2,511.6,693.2,322.9,178.7,364.9,218.2,28.5,42.5,56.5,32.6,22.2,31.0,24.7,,25.8,,,22.8,23.7,41.0,39.4,33.3,24.4,28.8,,22.6,24.9,24.1,,23.2,25.9,,,27.6,24.2,,26.1,,26.3,25.4,,24.3,25.5,,,,,24.7,23.5,25.3,31.9,24.3,29.2,34.3,35.4,30.7,,29.7
1.A.17.1.3,937.0,27.4,87.0,76.0,90.5,161.7,83.3,125.0,91.4,79.3,467.7,1619.4,468.5,322.4,168.2,329.8,34.2,30.8,41.0,39.0,40.1,25.0,25.8,,,24.9,,,,,25.1,31.6,27.1,,,,27.2,24.1,24.3,,,22.9,25.6,23.5,26.1,,22.4,,,,,23.0,24.1,,25.6,,23.2,22.6,,26.1,32.6,32.8,,,31.1,27.1,30.1,,31.7
1.A.17.1.4,487.3,25.8,95.7,83.5,113.7,177.6,92.6,140.2,88.0,90.7,631.5,467.3,1490.8,329.9,186.2,344.2,38.5,28.2,49.7,54.5,34.0,28.6,35.3,,23.2,,,,24.8,24.9,39.1,36.9,32.9,24.6,,,22.8,23.0,32.4,,24.6,24.7,23.1,24.0,,23.4,25.5,22.9,,23.1,24.7,,31.4,,,,23.6,,29.7,23.1,24.2,29.9,24.5,27.1,26.5,25.6,22.5,,26.0
1.A.17.1.5,351.2,27.9,86.8,63.1,75.2,151.0,79.5,121.9,84.9,96.7,318.8,347.9,356.8,1175.7,154.5,264.6,33.6,149.1,28.9,39.4,25.8,,27.5,25.6,,,,,,,29.9,27.4,24.9,24.2,29.2,,,22.8,26.3,,24.8,26.5,27.8,,33.8,,22.1,22.3,,,,,,23.7,24.3,23.0,25.5,,,,26.7,24.3,23.4,,30.5,23.3,26.4,,31.7
1.A.17.1.6,187.1,128.5,69.2,88.5,105.5,167.8,79.0,118.0,87.3,109.6,182.0,186.6,206.9,159.1,1710.9,213.5,27.5,152.4,33.7,35.6,,26.9,24.2,27.1,23.4,30.2,,,,,,31.6,29.2,27.0,24.5,,,,,,,,28.4,26.6,31.2,,,26.1,24.9,,,,24.3,,,,23.2,,24.5,25.0,27.9,27.4,,25.3,26.9,26.0,22.9,28.9,24.4
1.A.17.1.7,362.8,133.7,98.3,82.5,112.2,26.4,27.8,28.7,91.4,103.6,361.7,357.3,373.7,265.5,207.6,1722.8,263.9,211.4,29.5,47.5,49.4,25.8,40.2,32.3,25.7,23.8,,,25.9,23.0,24.1,44.5,32.3,,25.2,,23.1,25.6,22.6,,,23.3,,,,,,23.9,,24.0,22.9,23.0,36.9,,,,24.8,,30.2,26.1,,24.3,,,33.9,34.1,33.2,29.5,35.3
1.A.17.1.8,202.5,153.7,99.4,101.0,127.5,187.9,101.0,156.7,112.4,121.5,211.5,35.5,39.7,33.0,26.8,258.0,1430.7,376.6,32.6,49.3,42.4,31.3,28.9,24.4,24.1,,,,24.8,,30.1,32.0,,31.0,24.3,,24.7,,,25.0,24.8,22.4,24.4,23.0,27.3,,,,23.9,26.3,24.7,,22.5,22.6,28.1,,,23.8,25.4,25.0,28.8,25.9,29.7,23.2,31.5,,22.1,22.9,31.5
1.A.17.1.9,180.3,109.8,81.8,79.1,113.3,176.9,91.3,127.8,103.5,30.6,27.6,31.5,28.4,141.2,140.1,199.2,361.9,1300.7,31.6,37.4,34.0,21.6,30.3,30.2,,,26.5,,30.2,,37.8,55.1,33.1,32.1,25.7,,24.5,23.9,23.4,,23.2,,22.9,30.7,26.6,,23.3,35.3,24.7,27.3,23.1,27.4,22.3,,,22.8,25.5,27.4,28.7,23.1,36.3,22.1,38.8,25.1,24.5,34.9,25.2,32.4,24.6
1.A.17.2.1,35.9,34.9,34.7,28.6,40.8,55.1,44.4,28.5,28.9,23.4,44.7,46.1,55.8,30.4,35.0,31.5,34.9,34.3,834.6,192.0,108.8,89.4,129.3,47.4,35.9,73.6,23.4,51.5,23.3,33.0,40.1,29.0,47.4,41.9,44.6,47.7,43.4,52.1,27.0,65.1,25.2,35.2,31.7,29.5,33.3,25.5,38.2,28.4,35.6,42.1,39.5,30.8,,27.5,24.5,30.8,33.1,49.2,62.8,41.7,26.7,28.8,49.5,46.3,25.7,34.1,31.3,30.9,22.8
1.A.17.2.2,43.7,26.0,43.2,34.8,46.6,58.1,27.6,31.2,27.7,28.9,55.4,40.8,57.0,39.0,34.8,47.4,49.6,38.4,176.4,1079.0,108.8,101.4,125.8,29.0,25.2,41.2,27.2,26.6,24.3,27.2,35.8,27.4,36.3,25.9,30.2,54.5,28.6,33.9,48.9,49.9,38.1,27.2,27.6,27.6,33.5,24.9,28.4,23.3,26.0,30.2,28.3,25.9,31.7,22.6,22.5,22.1,29.4,27.8,45.2,34.8,27.9,30.6,42.4,28.4,32.7,30.3,35.0,40.2,30.7
1.A.17.2.3,39.6,25.6,23.0,23.4,37.6,47.4,24.8,23.5,25.5,25.6,31.6,41.1,34.4,25.3,,48.0,41.7,34.1,97.1,105.3,1085.9,56.2,76.6,30.9,26.2,23.5,23.6,25.7,22.5,,,30.2,22.8,37.2,27.8,27.1,27.5,26.5,29.2,37.4,23.9,26.5,27.8,25.2,27.6,,,,,28.9,27.6,,22.0,,,24.4,,,29.5,30.4,30.2,27.0,29.1,22.8,22.9,22.9,23.2,29.5,26.0
1.A.17.2.4,21.7,26.3,21.9,28.6,34.5,32.9,24.6,24.7,,23.2,22.8,26.9,30.6,,27.5,27.1,32.9,22.6,87.3,107.3,60.9,695.3,75.7,26.6,29.9,40.1,21.7,22.9,,30.2,,31.1,42.5,49.4,25.4,28.5,24.9,22.6,24.3,41.1,26.1,29.1,24.6,22.7,26.6,24.4,23.9,27.6,28.4,28.4,26.7,24.5,28.9,22.8,26.0,25.1,27.3,32.1,25.8,38.0,24.9,36.0,29.7,28.4,26.3,27.5,22.9,29.9,25.0
1.A.17.2.5,26.5,29.5,23.9,,31.1,42.3,25.5,,22.2,28.9,28.9,25.2,34.4,25.7,,38.1,27.5,29.2,113.2,119.4,74.9,68.0,1466.0,27.8,,25.8,25.3,38.0,34.0,,29.9,27.2,35.1,32.5,26.4,36.0,28.2,25.8,34.4,49.9,33.0,25.6,27.1,26.4,28.4,,29.7,30.8,25.2,27.5,25.1,27.2,28.2,,,,27.1,27.6,25.4,29.1,25.8,29.7,32.3,,,,25.0,,23.6
1.A.17.3.5,23.4,22.9,,,,,27.0,,,,22.6,,24.3,,,,,,30.0,26.2,,27.9,,173.5,44.4,46.5,143.9,193.4,87.2,1489.9,26.9,32.5,49.3,28.3,22.8,35.1,,23.9,25.1,31.7,27.5,24.0,,23.7,,,,,,23.8,24.0,,23.2,,,27.1,22.9,,,26.8,28.8,26.1,,,32.9,34.1,,,28.6
1.A.17.3.6,30.9,23.3,22.8,25.1,27.4,35.3,,26.3,,24.4,37.5,24.5,37.6,27.7,,,28.4,36.0,34.9,33.4,,,59.1,72.4,36.5,48.8,39.4,90.5,61.6,59.6,2360.5,46.8,48.6,46.0,25.9,,24.5,23.9,27.8,27.0,,,,25.7,29.1,47.2,26.6,32.2,50.4,50.6,53.0,34.7,45.9,24.2,28.5,26.9,35.5,,25.0,26.8,23.7,23.0,23.9,28.6,27.7,39.6,39.5,26.4,29.7
1.A.17.3.7,30.6,22.9,23.0,24.2,30.2,48.6,23.5,43.9,25.5,,37.7,31.9,37.1,26.4,30.1,43.2,31.3,55.3,26.7,26.6,29.8,29.0,29.4,33.8,53.4,29.1,33.4,35.8,33.8,37.7,49.2,1750.8,31.6,44.7,25.2,26.2,28.6,31.2,24.1,33.0,29.0,,24.1,24.2,26.8,28.3,28.8,23.5,28.6,44.9,44.5,41.6,27.3,,,26.2,29.7,24.0,,22.9,23.0,25.0,24.7,,29.7,37.0,39.5,39.8,31.5
1.A.17.3.8,38.6,24.7,22.6,25.1,41.6,32.7,23.8,29.7,31.7,22.7,35.3,29.8,36.6,25.9,30.5,32.2,23.4,36.5,32.8,27.3,24.0,44.2,40.0,34.9,34.0,94.7,28.9,34.1,28.7,56.3,57.9,34.8,1583.0,248.0,24.5,23.2,23.3,25.6,29.7,25.9,28.1,29.5,24.1,24.0,30.7,23.2,35.8,31.8,26.9,41.4,45.4,28.5,27.1,28.8,22.9,25.8,28.7,26.8,28.2,24.2,27.9,26.5,24.9,27.3,37.3,27.9,37.8,25.0,37.3
1.A.17.3.9,23.6,23.1,29.3,28.6,26.8,29.2,,31.2,26.2,,25.0,22.8,26.0,24.8,27.5,23.8,32.4,34.1,40.8,26.9,39.6,49.0,35.7,32.1,32.6,55.2,26.0,30.2,34.0,31.2,52.0,28.1,228.7,1446.5,25.0,23.9,22.6,28.0,24.3,31.9,25.2,25.9,25.4,,25.8,31.7,31.5,28.2,26.5,27.7,28.3,31.4,29.8,30.6,24.6,28.0,35.7,25.1,31.9,25.5,27.7,25.2,24.1,27.6,28.9,29.4,32.1,29.1,28.8
1.A.17.4.1,23.2,,23.0,,27.0,22.4,22.7,23.1,,26.3,27.6,,,28.2,23.6,24.9,23.8,25.4,40.2,29.3,27.5,27.1,27.2,,,27.9,,,23.8,23.3,26.9,25.3,23.0,23.6,1418.5,117.4,135.1,133.4,26.5,132.6,168.9,678.2,295.0,347.9,207.8,,,,,,25.8,,23.9,29.5,,24.9,,39.9,67.0,40.4,52.9,33.1,32.5,45.5,22.3,27.1,,,
1.A.17.4.10,26.5,,,25.1,26.4,,26.1,,23.9,22.5,,,,,,,,,43.3,52.9,27.0,26.9,37.2,29.2,23.9,26.1,,27.2,26.4,35.6,22.9,26.5,,22.7,118.7,1267.9,153.6,139.0,125.1,179.1,171.6,125.1,48.6,76.9,68.5,,,,25.6,,,27.4,,,,,22.2,24.5,50.2,41.7,28.8,33.7,47.6,33.2,22.7,,,,22.4
1.A.17.4.5,29.4,23.3,,26.9,25.1,31.3,28.3,25.4,22.7,,23.5,22.1,25.5,25.1,,,25.4,24.0,41.0,38.8,24.7,25.6,35.5,29.2,25.0,22.6,27.9,,,29.1,,30.4,27.1,24.8,179.6,180.3,216.5,193.2,125.4,194.8,1040.0,165.3,99.3,139.6,85.7,22.3,,28.0,23.6,27.3,25.8,25.2,,29.9,26.0,26.9,24.6,30.4,82.8,27.6,26.7,42.0,63.4,39.6,,,22.1,26.6,
1.A.17.4.6,23.6,23.6,22.4,,26.8,,,24.9,22.4,25.3,25.0,23.1,24.6,25.7,,23.1,,,32.4,26.6,26.3,27.3,26.5,28.5,28.0,23.3,,22.7,,24.4,,,27.3,24.4,701.5,127.2,138.8,133.8,130.3,130.5,160.2,1173.9,276.1,317.1,194.7,,,22.3,,,,,,,22.7,22.6,,38.6,48.2,27.9,27.4,40.9,41.3,33.8,,26.2,,,
1.A.17.4.7,26.1,26.5,26.5,,25.1,,22.7,26.9,25.8,25.8,,26.4,23.1,27.5,27.9,,24.3,22.8,30.0,27.5,28.2,23.5,28.7,25.2,,,,24.2,,,,24.6,,24.4,323.3,51.0,79.4,76.5,73.6,73.6,101.2,292.9,1834.6,602.6,317.1,,24.4,22.7,,23.4,26.0,25.9,27.8,23.1,26.0,,22.9,26.4,31.7,35.4,63.9,44.9,49.9,26.7,,22.6,,,
1.A.17.4.8,27.5,28.3,,,28.5,,,26.0,,,,23.3,23.4,,25.1,,,29.9,26.7,26.4,24.4,,26.8,25.6,,24.5,26.0,,,23.7,26.1,24.0,,,340.6,74.6,122.0,113.8,104.0,55.8,128.7,300.7,536.7,1939.6,250.8,22.7,23.0,,24.9,,24.9,27.9,24.3,,,24.9,22.7,26.4,30.0,31.5,52.2,35.7,30.4,27.6,,24.6,,22.5,
1.A.17.4.9,24.4,27.4,27.6,,31.7,28.0,23.1,33.1,,25.3,25.4,25.2,,30.8,28.3,,25.7,25.2,28.9,32.9,26.1,23.9,27.9,31.4,,28.1,,,26.9,,28.9,25.8,26.9,,192.4,63.4,78.5,73.6,27.0,29.8,75.4,174.9,267.5,236.8,3253.7,23.8,,,,23.8,,27.6,,,,,,27.4,32.1,28.7,63.0,47.9,43.6,27.1,,25.6,,,
1.A.17.5.10,23.4,22.2,22.4,23.8,25.9,,25.9,,26.2,23.2,,22.8,25.8,,,,,23.3,35.7,28.2,,22.9,31.3,24.2,29.4,38.2,24.6,,30.5,,28.1,29.5,33.1,30.2,,,21.9,23.6,,,,,24.4,23.7,23.2,33.0,1146.4,115.3,111.2,120.7,121.8,49.9,136.6,132.0,93.5,129.2,776.8,,,24.2,22.5,24.1,,26.7,28.1,38.1,41.7,35.9,25.6
1.A.17.5.11,23.9,22.2,21.9,24.6,28.3,,24.6,22.6,,,27.0,,24.1,22.8,26.8,25.1,,38.4,28.1,24.2,,27.7,34.3,31.4,28.9,27.9,26.3,27.4,,23.7,36.6,25.1,31.4,28.5,22.6,22.5,22.1,22.8,,22.9,28.8,23.6,23.7,22.7,24.5,98.4,125.8,1043.6,62.7,86.6,71.5,116.1,121.5,117.1,72.1,138.8,138.9,,,24.0,,25.4,23.9,27.8,22.9,32.4,32.5,27.3,25.8
1.A.17.5.4,28.0,33.1,,24.2,32.4,23.6,,26.9,28.4,22.9,,23.6,,,,23.1,,27.8,28.9,25.7,,23.5,28.7,29.7,25.5,54.5,26.5,24.7,33.3,,37.3,42.9,31.4,30.2,,27.8,23.8,,27.0,30.5,24.6,22.4,25.9,29.0,29.7,38.4,50.1,107.0,41.5,49.7,45.8,1471.3,42.0,31.9,32.2,45.6,59.8,,25.2,30.4,24.4,27.4,22.8,25.9,27.5,25.8,24.8,25.2,28.0
1.A.17.5.5,26.3,,25.8,,25.1,22.7,,23.1,,,23.7,24.5,31.8,,23.6,36.4,,,,31.1,21.9,27.3,29.4,24.2,27.8,37.8,22.7,24.9,,23.7,48.7,27.6,30.6,28.3,24.0,,,26.0,31.4,27.7,,,27.4,24.9,23.5,72.7,133.7,109.0,79.5,85.9,88.3,41.2,1316.8,95.2,56.9,130.8,150.0,22.4,23.9,25.7,,22.1,23.0,,36.1,42.3,28.0,34.6,35.9
1.A.17.5.7,25.1,,23.9,24.6,22.9,24.8,22.0,23.3,25.1,,22.6,28.8,23.6,25.9,23.0,24.5,30.9,,25.0,24.2,,27.1,22.7,27.3,26.6,24.9,25.6,,,23.3,33.3,,23.6,25.7,23.1,,,,,,26.6,24.9,28.2,24.0,,81.9,106.6,75.4,62.3,50.2,45.1,35.4,65.3,152.6,1103.8,153.4,98.7,27.0,25.8,26.6,23.9,23.0,,26.1,23.3,30.9,28.0,25.2,22.6
1.A.17.6.2,22.7,22.9,,38.8,41.9,25.7,,31.9,25.5,26.3,24.8,,31.1,,24.5,30.8,25.9,29.6,27.3,46.2,30.5,25.2,27.2,28.3,,29.7,22.2,26.2,26.9,,26.9,,26.5,31.2,71.6,52.9,70.7,78.2,77.1,92.0,83.9,50.3,32.1,31.9,35.6,,22.4,,23.0,,,25.6,24.6,,24.3,23.3,28.7,28.3,1277.6,183.3,120.8,123.2,128.4,27.8,,27.3,24.4,22.1,
1.A.17.6.3,23.2,,,32.1,29.0,29.2,25.5,31.7,31.7,25.8,23.7,27.6,23.8,,25.1,26.9,25.7,23.7,40.0,35.6,31.7,37.2,31.5,29.0,,33.6,,,29.2,28.4,29.1,24.0,23.6,25.1,43.0,44.0,56.1,53.6,26.3,73.6,26.1,37.1,26.5,33.9,31.7,,24.8,23.5,,,,31.2,26.6,24.4,25.0,22.8,25.0,48.1,184.6,1200.0,30.9,68.1,88.4,66.5,22.3,30.7,23.4,24.0,
1.A.17.6.4,26.3,,21.9,,23.8,25.9,25.1,26.3,25.8,25.3,24.8,33.4,24.3,26.2,27.1,,28.6,36.5,32.0,27.5,30.3,23.7,26.1,25.2,,24.9,25.1,,24.6,29.5,24.9,23.5,26.5,26.3,53.6,29.0,29.1,26.2,26.3,27.3,25.9,27.7,60.6,54.0,68.2,23.0,22.6,,27.5,,22.4,24.3,,24.2,,23.5,,27.4,113.5,29.8,1382.9,33.5,120.6,49.6,,30.3,22.9,22.9,
1.A.17.6.5,33.3,,21.5,,22.7,23.8,22.7,25.4,24.1,25.6,31.3,34.1,30.6,23.9,26.8,24.5,25.9,22.1,27.1,30.5,27.2,34.3,31.3,27.3,25.7,22.9,22.2,,26.1,27.0,24.1,25.6,25.1,24.2,34.0,34.4,33.5,32.1,66.5,60.5,41.2,41.6,44.1,37.5,52.8,,24.2,24.3,,25.2,30.8,27.4,22.3,,,,,73.6,119.8,65.8,34.0,892.4,119.1,59.6,,,,,
1.A.17.6.6,24.8,26.0,23.2,23.4,24.0,27.1,26.3,29.2,,24.9,24.3,,25.3,23.5,,,30.6,41.2,48.0,43.9,30.3,29.2,35.0,32.8,24.1,32.0,23.9,,24.8,23.0,25.6,25.8,24.1,23.6,34.4,51.0,61.4,51.5,70.9,84.0,32.8,43.7,51.0,32.7,50.0,,,23.3,,,,23.2,23.6,24.2,,,,74.3,132.0,90.0,132.0,125.9,1194.0,52.7,,23.1,22.3,,
1.A.17.6.7,24.6,,,31.3,39.7,24.1,25.1,46.0,24.6,24.1,30.2,23.3,29.1,,26.0,,24.3,26.6,45.8,29.8,24.0,28.6,23.9,30.2,,37.1,,23.2,22.8,23.0,32.1,24.0,27.1,27.8,50.1,35.8,31.6,31.9,28.7,45.2,41.2,36.4,28.0,30.2,30.7,27.0,28.2,27.8,25.4,27.7,26.0,27.2,,26.8,25.2,24.9,29.0,66.5,83.1,68.6,54.1,63.6,53.7,1196.9,26.5,30.3,35.2,27.5,23.0
1.A.17.7.1,29.2,22.9,,,32.4,26.6,29.8,27.2,24.8,27.2,36.4,34.8,28.9,32.4,28.1,36.6,34.0,26.3,25.8,35.2,24.4,26.9,,,25.5,30.2,22.9,31.3,32.8,36.8,31.6,32.7,37.2,29.8,24.0,24.3,29.8,29.3,,26.8,,23.6,,,25.5,25.9,30.2,23.3,33.6,34.1,39.1,29.4,39.7,,22.9,23.3,30.4,25.3,,23.1,23.0,22.1,,26.9,1108.4,90.4,59.1,26.2,814.7
1.A.17.7.2,27.7,22.4,,33.0,24.2,35.5,,26.9,,,36.4,29.3,27.2,23.9,26.6,35.7,22.5,37.4,33.4,31.6,24.0,27.5,23.9,23.7,25.9,45.6,23.4,33.7,30.5,37.0,44.8,39.9,27.5,47.7,29.0,,,25.2,,23.1,,27.9,23.7,26.6,28.6,42.9,40.0,32.0,48.2,42.8,36.8,27.0,45.2,26.2,29.5,39.0,32.2,28.3,28.0,31.3,32.1,,23.6,30.1,86.5,887.7,150.3,97.9,75.5
1.A.17.7.3,25.6,29.5,27.4,31.3,32.6,31.8,30.0,35.3,,23.9,32.9,34.1,24.3,28.2,24.1,36.4,23.6,26.8,32.0,38.3,25.1,23.5,27.5,32.1,24.5,28.1,,36.5,24.3,22.6,47.0,44.7,38.2,33.6,,,,22.3,31.0,27.5,23.0,,23.5,,,29.2,46.1,33.4,23.6,30.9,31.7,26.8,30.7,31.3,27.7,25.8,25.5,24.3,25.8,24.6,24.6,21.6,23.4,36.5,60.2,161.1,942.7,152.4,64.4
1.A.17.7.5,32.3,27.9,22.2,,33.0,26.4,24.4,27.2,31.3,24.6,31.6,35.8,28.4,33.9,25.6,38.3,34.2,26.6,23.0,33.2,28.2,25.6,26.5,26.1,25.5,33.2,27.5,30.4,33.8,31.9,26.9,35.0,37.4,26.8,22.4,24.1,24.2,24.3,23.1,23.8,,22.0,,,,26.6,27.5,26.3,33.4,36.2,38.8,27.0,39.7,25.1,22.3,,31.8,,22.6,22.2,,,,23.4,824.7,79.6,63.8,25.8,1076.6
1.A.17.3.1,,27.9,26.3,,28.5,27.1,27.6,29.7,23.9,24.6,,,,24.2,25.3,30.8,,29.2,41.9,27.5,29.8,24.3,27.9,3930.8,30.8,73.6,27.5,191.9,103.5,169.4,31.4,32.9,30.4,29.3,,28.3,31.4,30.4,25.8,39.0,27.2,27.7,,25.4,33.0,,,28.4,,,26.3,28.3,,23.9,24.1,24.9,23.9,27.4,27.6,27.0,24.2,26.1,30.4,27.3,,,28.1,,
1.A.17.3.10,,27.9,,,24.2,,,26.0,,,,,23.4,,,25.8,24.1,,33.2,25.1,26.3,28.4,,32.1,1656.4,31.8,33.0,50.8,27.6,47.7,38.8,53.9,31.4,31.0,,24.1,,,22.4,,24.4,28.4,,,,28.3,29.3,27.4,26.5,33.7,41.1,25.4,28.0,,24.5,25.8,27.8,,,,,25.6,23.6,,23.9,24.8,22.9,30.1,23.8
