,1.A.17.1.1,1.A.17.1.10,1.A.17.1.11,1.A.17.1.12,1.A.17.1.13,1.A.17.1.14,1.A.17.1.15,1.A.17.1.16,1.A.17.1.17,1.A.17.1.18,1.A.17.1.2,1.A.17.1.3,1.A.17.1.4,1.A.17.1.5,1.A.17.1.6,1.A.17.1.7,1.A.17.1.8,1.A.17.1.9,1.A.17.2.1,1.A.17.2.2,1.A.17.2.3,1.A.17.2.4,1.A.17.2.5,1.A.17.3.1,1.A.17.3.10,1.A.17.3.11,1.A.17.3.2,1.A.17.3.3,1.A.17.3.4,1.A.17.3.5,1.A.17.3.6,1.A.17.3.7,1.A.17.3.8,1.A.17.3.9,1.A.17.4.1,1.A.17.4.10,1.A.17.4.11,1.A.17.4.2,1.A.17.4.3,1.A.17.4.4,1.A.17.4.5,1.A.17.4.6,1.A.17.4.7,1.A.17.4.8,1.A.17.4.9,1.A.17.5.1,1.A.17.5.10,1.A.17.5.11,1.A.17.5.12,1.A.17.5.2,1.A.17.5.3,1.A.17.5.4,1.A.17.5.5,1.A.17.5.6,1.A.17.5.7,1.A.17.5.8,1.A.17.5.9,1.A.17.6.1,1.A.17.6.2,1.A.17.6.3,1.A.17.6.4,1.A.17.6.5,1.A.17.6.6,1.A.17.6.7,1.A.17.7.1,1.A.17.7.2,1.A.17.7.3,1.A.17.7.4,1.A.17.7.5
1.A.17.1.2,514.1,106.0,95.7,71.0,101.9,161.3,84.2,116.9,72.8,91.2,1344.2,511.6,693.2,322.9,178.7,364.9,218.2,195.1,42.5,56.5,32.6,22.2,31.0,24.7,10.0,25.8,10.0,10.0,22.8,23.7,41.0,39.4,33.3,24.4,28.8,10.0,22.6,24.9,24.1,10.0,23.2,25.9,10.0,10.0,27.6,24.2,10.0,26.1,10.0,26.3,25.4,10.0,24.3,25.5,10.0,10.0,10.0,10.0,24.7,23.5,25.3,31.9,24.3,29.2,34.3,35.4,30.7,10.0,29.7
1.A.17.1.3,937.0,108.2,87.0,76.0,90.5,161.7,83.3,125.0,91.4,79.3,467.7,1619.4,468.5,322.4,168.2,329.8,189.7,171.8,41.0,39.0,40.1,25.0,25.8,10.0,10.0,24.9,10.0,10.0,10.0,10.0,25.1,31.6,27.1,10.0,10.0,10.0,27.2,24.1,24.3,10.0,10.0,22.9,25.6,23.5,26.1,10.0,22.4,10.0,10.0,10.0,10.0,23.0,24.1,10.0,25.6,10.0,23.2,22.6,10.0,26.1,32.6,32.8,10.0,10.0,31.1,27.1,30.1,10.0,31.7
1.A.17.1.4,487.3,106.4,95.7,83.5,113.7,177.6,92.6,140.2,88.0,90.7,631.5,467.3,1490.8,329.9,186.2,344.2,231.3,187.5,49.7,54.5,34.0,28.6,35.3,10.0,23.2,10.0,10.0,10.0,24.8,24.9,39.1,36.9,32.9,24.6,10.0,10.0,22.8,23.0,32.4,10.0,24.6,24.7,23.1,24.0,10.0,23.4,25.5,22.9,10.0,23.1,24.7,10.0,31.4,10.0,10.0,10.0,23.6,10.0,29.7,23.1,24.2,29.9,24.5,27.1,26.5,25.6,22.5,10.0,26.0
1.A.17.1.5,351.2,123.9,86.8,63.1,75.2,151.0,79.5,121.9,84.9,96.7,318.8,347.9,356.8,1175.7,154.5,264.6,153.6,149.1,28.9,39.4,25.8,10.0,27.5,25.6,10.0,10.0,10.0,10.0,10.0,10.0,29.9,27.4,24.9,24.2,29.2,10.0,10.0,22.8,26.3,10.0,24.8,26.8,27.8,10.0,33.8,10.0,22.1,22.3,10.0,10.0,10.0,10.0,10.0,23.7,24.3,23.0,25.5,10.0,10.0,10.0,29.3,24.3,23.4,10.0,30.5,23.3,26.4,10.0,31.7
1.A.17.1.6,187.1,128.5,69.2,88.5,105.5,167.8,79.0,118.0,87.3,109.6,182.0,186.6,206.9,159.1,1710.9,213.5,185.9,152.4,33.7,35.6,10.0,26.9,24.2,27.1,23.4,30.7,10.0,10.0,10.0,10.0,10.0,31.6,29.2,27.0,24.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,28.4,26.6,31.2,10.0,10.0,26.1,24.9,10.0,10.0,10.0,24.3,10.0,10.0,10.0,23.2,10.0,24.5,25.0,27.9,27.4,10.0,25.3,26.9,26.0,22.9,28.9,24.4
1.A.17.1.7,362.8,133.7,98.3,82.5,112.2,186.5,108.3,157.4,91.4,103.6,361.7,357.3,373.7,265.5,207.6,1722.8,263.9,211.4,44.1,47.5,49.4,25.8,40.2,32.3,25.7,23.8,10.0,10.0,25.9,23.0,24.1,44.5,32.3,10.0,25.2,10.0,23.1,25.6,22.6,10.0,10.0,23.3,10.0,10.0,10.0,10.0,10.0,23.9,10.0,24.0,22.9,23.0,36.9,10.0,10.0,10.0,24.8,10.0,30.2,26.1,10.0,24.3,10.0,10.0,33.9,34.1,33.2,29.5,35.3
1.A.17.1.8,202.5,153.7,99.4,101.0,127.5,187.9,101.0,156.7,112.4,121.5,211.5,200.5,245.0,150.7,177.0,258.0,1430.7,376.6,32.6,49.3,42.4,31.3,28.9,24.4,24.1,10.0,10.0,10.0,24.8,10.0,30.1,32.0,10.0,31.0,24.3,10.0,24.7,10.0,10.0,25.0,24.8,22.4,24.4,23.0,27.3,10.0,10.0,10.0,23.9,26.3,24.7,10.0,22.5,22.6,28.1,10.0,10.0,23.8,25.4,25.0,28.8,25.9,29.7,23.2,31.5,10.0,22.1,22.9,31.5
1.A.17.1.9,180.3,109.8,81.8,79.1,113.3,176.9,91.3,127.8,103.5,119.8,182.2,174.8,191.1,141.2,140.1,199.2,361.9,1300.7,31.6,37.4,34.0,21.6,30.3,30.2,10.0,10.0,26.5,10.0,30.2,10.0,37.8,55.1,33.1,32.1,25.7,10.0,24.5,23.9,23.4,10.0,23.2,10.0,22.9,30.7,26.6,10.0,23.3,35.3,24.7,30.2,23.1,27.4,22.3,10.0,10.0,22.8,25.5,27.4,28.7,23.1,36.3,22.1,38.8,25.1,24.5,34.9,25.2,32.4,24.6
1.A.17.2.1,35.9,34.9,34.7,33.4,40.8,55.1,44.4,29.2,28.9,23.4,44.7,46.1,55.8,30.4,35.0,47.2,34.9,34.3,834.6,192.0,108.8,89.4,129.3,47.4,35.9,73.6,23.4,51.5,23.3,33.0,40.1,53.5,47.4,41.9,44.6,47.7,43.4,52.1,37.6,65.1,43.2,35.2,31.7,31.7,38.9,29.2,38.2,28.4,35.6,42.1,39.5,30.8,10.0,27.5,24.5,30.8,33.1,49.2,62.8,41.7,34.7,36.4,49.5,46.3,25.7,34.1,31.3,30.9,22.8
1.A.17.2.2,43.7,36.3,43.2,34.8,46.6,58.1,27.6,31.2,27.7,28.9,55.4,40.8,57.0,39.0,34.8,47.4,49.6,38.4,176.4,1079.0,108.8,101.4,125.8,46.2,25.2,41.2,27.2,26.6,24.3,27.2,35.8,48.6,36.3,29.8,30.2,54.5,28.6,33.9,48.9,49.9,38.1,27.7,34.2,32.9,36.3,24.9,28.4,23.3,26.0,30.2,28.3,25.9,31.7,22.6,22.5,22.1,29.4,27.8,45.2,34.8,35.9,30.6,42.4,28.4,32.7,30.3,35.0,40.2,30.7
1.A.17.2.3,39.6,34.4,23.0,23.4,37.6,47.4,24.8,23.5,25.5,25.6,31.6,41.1,34.4,25.3,10.0,48.0,41.7,34.1,97.1,105.3,1085.9,56.2,76.6,44.3,26.2,23.5,23.6,25.7,22.5,10.0,10.0,30.2,22.8,37.2,27.8,30.4,27.5,26.5,29.2,37.4,23.9,30.0,27.8,25.2,27.6,10.0,10.0,10.0,10.0,28.9,27.6,10.0,22.0,10.0,10.0,24.4,10.0,10.0,29.5,30.4,30.7,27.0,29.1,22.8,22.9,22.9,23.2,29.5,26.0
1.A.17.2.4,21.7,26.3,21.9,28.6,34.5,32.9,24.6,24.7,10.0,23.2,22.8,26.9,30.6,10.0,27.5,27.1,32.9,22.6,87.3,107.3,60.9,695.3,75.7,26.6,29.9,40.1,21.7,22.9,10.0,30.2,10.0,31.1,42.5,49.4,29.0,28.5,24.9,22.6,24.3,41.1,26.1,29.1,24.6,22.7,26.6,24.4,23.9,27.6,28.4,28.4,26.7,24.5,28.9,22.8,26.0,27.1,27.3,32.1,25.8,38.0,24.9,36.0,29.7,28.4,27.9,27.5,22.9,29.9,25.0
1.A.17.2.5,26.5,29.5,23.9,10.0,31.1,42.3,25.5,10.0,22.2,28.9,28.9,25.2,34.4,25.7,10.0,38.1,27.5,29.2,113.2,119.4,74.9,68.0,1466.0,38.3,10.0,25.8,25.3,38.0,34.0,10.0,60.9,46.8,35.1,32.5,29.7,36.0,36.5,31.9,34.4,49.9,33.0,27.9,29.9,27.1,45.8,10.0,29.7,30.8,25.2,27.5,25.1,27.2,28.2,10.0,10.0,10.0,27.1,27.6,25.4,29.1,25.8,32.2,32.3,10.0,10.0,10.0,25.0,10.0,23.6
1.A.17.3.1,10.0,27.9,26.3,10.0,29.0,27.1,27.6,32.6,23.9,24.6,10.0,10.0,10.0,24.2,25.3,30.8,10.0,29.2,41.9,43.7,42.9,24.3,38.3,3930.8,42.8,73.6,298.6,191.9,103.5,169.4,74.6,47.0,42.1,44.3,10.0,28.3,31.4,30.4,25.8,39.0,27.2,27.7,10.0,25.4,33.0,10.0,10.0,28.4,10.0,10.0,26.3,39.2,10.0,23.9,24.1,24.9,23.9,27.4,27.6,27.0,24.2,26.1,30.4,27.3,10.0,10.0,28.1,10.0,10.0
1.A.17.3.10,10.0,27.9,10.0,10.0,24.2,10.0,10.0,26.0,10.0,10.0,10.0,10.0,23.4,10.0,10.0,25.8,24.1,10.0,33.2,25.1,26.3,28.4,10.0,44.5,1656.4,49.9,33.0,61.8,57.0,52.6,54.2,53.9,59.5,70.7,10.0,24.1,10.0,10.0,22.4,10.0,24.4,28.4,10.0,10.0,10.0,28.3,29.3,27.4,28.0,48.5,44.2,25.4,36.5,10.0,24.5,25.8,32.2,10.0,10.0,10.0,10.0,26.1,23.6,10.0,23.9,24.8,22.9,30.1,23.8
1.A.17.3.11,10.0,24.0,10.0,28.4,38.4,31.3,24.8,38.3,10.0,26.8,25.4,25.7,22.9,10.0,29.8,24.0,10.0,10.0,67.1,40.8,23.7,37.9,27.2,76.7,50.2,1914.8,37.7,61.1,25.9,47.7,52.2,59.0,83.1,52.2,28.5,26.4,24.0,24.9,10.0,36.0,10.0,23.8,10.0,25.4,30.2,26.6,38.0,27.8,34.5,49.5,41.8,53.6,38.1,32.8,23.1,28.0,32.9,34.4,34.5,32.6,25.1,23.0,31.0,34.8,28.1,43.0,26.0,27.3,30.5
1.A.17.3.2,10.0,10.0,10.0,10.0,25.1,26.9,10.0,26.5,22.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,26.1,21.7,26.4,23.3,10.0,26.1,299.3,32.2,36.6,1341.0,145.2,73.4,141.3,40.8,33.2,29.4,30.2,10.0,10.0,10.0,10.0,23.4,10.0,26.6,10.0,10.0,26.4,23.5,22.3,24.2,24.5,35.8,32.1,33.7,25.9,22.5,10.0,23.1,26.4,29.9,10.0,10.0,10.0,24.6,21.8,23.0,10.0,10.0,22.0,10.0,24.8,25.0
1.A.17.3.3,10.0,27.0,25.4,25.9,10.0,39.2,10.0,26.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,49.5,27.1,26.5,22.4,41.2,212.6,65.1,64.2,159.9,1191.5,141.8,209.2,102.9,69.4,50.9,47.7,10.0,28.3,30.0,31.2,10.0,31.2,10.0,23.6,24.8,10.0,24.3,10.0,10.0,26.8,23.9,24.5,26.0,25.2,25.7,23.7,10.0,26.9,24.1,26.2,26.3,10.0,10.0,10.0,10.0,22.6,29.9,33.0,34.2,30.9,29.0
1.A.17.3.4,10.0,10.0,27.4,24.2,10.0,10.0,10.0,24.9,22.9,10.0,10.0,10.0,23.6,10.0,10.0,24.5,23.4,28.5,10.0,22.8,10.0,10.0,33.1,98.0,52.5,24.2,69.2,121.2,2094.9,81.0,60.4,37.8,25.3,30.2,22.8,25.0,22.6,10.0,25.3,25.4,10.0,10.0,10.0,10.0,26.8,10.0,28.4,10.0,10.0,35.5,30.8,30.8,10.0,10.0,10.0,10.0,25.3,10.0,24.7,26.6,23.2,24.5,23.0,10.0,28.3,27.1,10.0,10.0,29.0
1.A.17.3.5,23.4,22.9,10.0,10.0,10.0,10.0,27.0,10.0,10.0,10.0,22.6,10.0,24.3,10.0,10.0,10.0,10.0,10.0,30.0,26.2,10.0,27.9,10.0,173.5,51.5,46.5,143.9,193.4,87.2,1489.9,62.4,58.8,49.3,39.8,22.8,35.1,10.0,23.9,25.1,31.7,27.5,24.0,10.0,23.7,10.0,10.0,10.0,10.0,10.0,23.8,24.0,10.0,23.2,10.0,10.0,27.1,22.9,10.0,10.0,26.8,28.8,26.1,10.0,10.0,32.9,34.1,10.0,10.0,28.6
1.A.17.3.6,30.9,23.3,22.8,25.1,27.4,35.3,10.0,26.3,10.0,24.4,37.5,24.5,37.6,27.7,10.0,10.0,28.4,36.0,34.9,33.4,10.0,10.0,59.1,72.4,50.8,48.8,39.4,90.5,61.6,59.6,2360.5,67.5,48.6,46.0,25.9,10.0,24.5,23.9,27.8,27.0,10.0,10.0,10.0,25.7,29.1,47.2,34.7,32.2,50.4,50.6,53.0,34.7,45.9,24.2,28.5,26.9,35.5,10.0,25.0,26.8,23.7,23.0,23.9,28.6,27.7,39.6,39.5,26.4,29.7
1.A.17.3.7,30.6,22.9,23.0,24.2,30.2,48.6,23.5,43.9,25.5,10.0,37.7,31.9,37.1,26.4,30.1,43.2,31.3,55.3,48.4,47.3,29.8,29.0,48.0,48.3,53.4,58.2,33.4,65.2,40.2,59.3,71.6,1750.8,56.6,44.7,25.2,26.2,28.6,31.2,24.1,33.0,29.0,10.0,24.1,24.2,26.8,28.3,28.8,23.5,28.6,44.9,44.5,41.6,27.3,10.0,10.0,26.2,29.7,24.0,10.0,22.9,23.0,25.0,24.7,10.0,29.7,37.0,39.5,39.8,31.5
1.A.17.3.8,38.6,24.7,22.6,25.1,41.6,32.7,23.8,36.0,31.7,22.7,35.3,29.8,36.6,25.9,30.5,34.8,23.4,36.5,48.4,39.2,24.0,44.2,40.0,48.6,67.2,94.7,32.5,54.3,28.7,56.3,57.9,64.3,1583.0,248.0,24.5,23.2,23.3,25.6,29.7,25.9,28.1,29.5,24.1,24.0,30.7,23.2,35.8,31.8,26.9,41.4,45.4,33.6,33.3,28.8,22.9,25.8,28.7,28.5,32.1,24.2,28.4,26.5,24.9,27.3,37.3,33.4,37.8,25.0,37.3
1.A.17.3.9,23.6,23.1,29.3,28.6,26.8,29.2,10.0,31.2,26.2,10.0,25.0,22.8,26.0,24.8,27.5,23.8,32.4,34.1,40.8,30.9,39.6,49.0,35.7,48.8,75.5,55.2,32.5,48.2,34.0,43.0,52.0,47.9,228.7,1446.5,25.0,23.9,22.6,28.0,24.3,31.9,25.2,25.9,25.4,10.0,25.8,31.7,31.5,28.2,38.4,36.9,34.1,31.4,29.8,30.6,24.6,28.0,35.7,25.1,31.9,25.5,27.7,25.2,24.1,27.6,32.5,47.4,32.1,29.1,30.9
1.A.17.4.1,23.2,10.0,23.0,10.0,28.5,22.4,22.7,23.1,10.0,26.3,27.6,10.0,10.0,28.2,23.6,24.9,23.8,25.4,40.2,29.3,27.5,27.1,30.5,10.0,10.0,27.9,10.0,10.0,23.8,23.3,26.9,25.3,23.0,23.6,1418.5,117.4,135.1,133.4,139.1,132.6,168.9,678.2,295.0,347.9,271.1,10.0,10.0,10.0,10.0,10.0,25.8,10.0,23.9,29.5,10.0,24.9,10.0,39.9,67.0,40.4,52.9,33.1,32.5,45.5,22.3,27.1,10.0,10.0,10.0
1.A.17.4.10,26.5,10.0,10.0,25.1,26.4,10.0,26.1,10.0,23.9,22.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,43.3,52.9,30.3,26.9,37.2,29.2,23.9,26.1,10.0,27.2,26.4,35.6,22.9,26.5,10.0,22.7,118.7,1267.9,153.6,139.0,125.1,179.1,171.6,125.1,79.3,76.9,79.0,10.0,10.0,10.0,25.6,10.0,10.0,27.4,10.0,10.0,10.0,10.0,22.2,24.5,50.2,41.7,32.1,33.7,47.6,33.2,22.7,10.0,10.0,10.0,22.4
1.A.17.4.11,10.0,10.0,10.0,10.0,10.0,10.0,22.0,10.0,10.0,10.0,22.2,27.9,22.9,10.0,10.0,23.1,24.5,24.5,39.8,28.2,27.5,23.7,37.9,32.6,10.0,23.8,10.0,28.9,23.8,10.0,25.6,29.0,10.0,10.0,138.2,155.3,1147.6,823.2,110.6,141.1,208.2,137.9,93.0,127.3,112.2,10.0,21.9,10.0,23.9,10.0,10.0,23.6,10.0,23.5,10.0,23.7,23.4,37.1,67.4,53.3,50.1,33.1,57.5,29.6,27.5,10.0,10.0,10.0,22.6
1.A.17.4.2,10.0,10.0,26.3,10.0,10.0,22.2,22.3,10.0,10.0,10.0,24.6,24.8,23.1,22.4,10.0,25.8,10.0,24.0,49.3,34.1,26.8,21.6,33.9,32.1,10.0,24.9,10.0,30.7,10.0,24.6,25.1,32.3,24.3,27.0,143.6,148.1,873.8,1069.5,125.1,144.8,196.2,139.9,96.9,124.8,111.2,10.0,23.7,21.9,23.0,10.0,10.0,10.0,26.4,23.1,10.0,23.7,10.0,37.3,77.8,52.9,52.5,32.4,50.1,30.5,27.5,24.1,10.0,10.0,22.8
1.A.17.4.3,10.0,31.5,22.2,10.0,10.0,23.1,10.0,10.0,24.6,25.6,23.0,24.3,31.8,25.1,10.0,10.0,10.0,22.8,33.4,46.0,28.4,22.7,34.6,26.1,10.0,10.0,23.2,10.0,26.1,25.1,28.4,24.0,26.9,22.7,134.8,120.0,105.1,113.0,1259.2,196.4,114.5,122.8,92.4,103.1,102.2,10.0,10.0,10.0,23.2,22.4,22.2,26.1,30.5,27.9,10.0,30.1,10.0,51.9,70.0,60.7,74.2,62.2,63.2,26.3,10.0,10.0,27.4,10.0,10.0
1.A.17.4.4,10.0,10.0,10.0,25.5,23.4,10.0,24.2,26.7,26.0,23.4,10.0,10.0,22.4,10.0,10.0,10.0,25.0,10.0,59.3,49.1,37.8,38.7,51.8,40.7,10.0,35.9,10.0,30.2,27.1,32.6,28.6,33.6,24.5,30.4,136.0,181.7,141.6,138.0,208.2,1276.1,188.0,130.1,92.4,98.2,105.8,10.0,10.0,22.1,10.0,10.0,10.0,30.3,28.0,22.8,10.0,25.1,23.9,34.4,87.8,69.9,70.3,59.5,78.3,42.1,25.1,22.2,25.4,10.0,22.4
1.A.17.4.5,29.4,23.3,10.0,26.9,25.1,31.3,28.3,25.4,22.7,10.0,23.5,22.1,25.5,25.1,10.0,10.0,25.4,24.0,41.0,38.8,24.7,25.6,35.5,29.2,25.0,22.6,27.9,10.0,10.0,29.1,10.0,30.4,27.1,24.8,179.6,180.3,216.5,193.2,125.4,194.8,1040.0,165.3,99.3,139.6,101.9,22.3,10.0,28.0,23.6,27.3,25.8,25.2,10.0,29.9,26.0,26.9,24.6,46.2,82.8,52.5,54.6,42.0,63.4,39.6,10.0,10.0,22.1,26.6,10.0
1.A.17.4.6,23.6,23.6,22.4,10.0,26.8,10.0,10.0,24.9,22.4,25.8,25.0,23.1,24.6,25.9,10.0,23.1,10.0,10.0,32.4,27.1,29.8,27.3,28.9,28.5,28.0,23.3,10.0,22.7,10.0,24.4,10.0,10.0,27.3,24.4,701.5,127.2,138.8,133.8,130.3,130.5,160.2,1173.9,276.1,317.1,237.1,10.0,10.0,22.3,10.0,10.0,10.0,10.0,10.0,10.0,22.7,22.6,10.0,38.6,48.2,35.4,53.2,40.9,41.3,33.8,10.0,26.2,10.0,10.0,10.0
1.A.17.4.7,26.1,26.5,26.5,10.0,25.1,10.0,22.7,26.9,25.8,25.8,10.0,26.4,23.1,27.5,27.9,10.0,24.3,22.8,30.0,34.5,28.2,23.5,31.7,25.2,10.0,10.0,10.0,24.2,10.0,10.0,10.0,24.6,10.0,24.4,323.3,84.4,98.4,97.8,102.8,97.3,101.2,292.9,1834.6,602.6,317.1,10.0,24.4,22.7,10.0,23.4,26.0,25.9,27.8,23.1,26.0,10.0,22.9,32.9,35.4,35.4,63.9,44.9,49.9,32.3,10.0,22.6,10.0,10.0,10.0
